orden_venta,producto,producto_template,cantidad,unidad_medida,precio_unitario,subtotal,actualizado
S00054,[PTEXP001] MANGO PULP 12 X 14 OZ,[PTEXP001] MANGO PULP 12 X 14 OZ,0.0,Caja de 12,0.0,0.0,2026-06-28 08:00:20
S00054,[PTEXP003] NARANJILLA PULP 12 X 14 OZ,[PTEXP003] NARANJILLA PULP 12 X 14 OZ,0.0,Caja de 12,0.0,0.0,2026-06-28 08:00:20
S00054,[PTEXP009] PINEAPPLE PULP 12 X 14 OZ,[PTEXP009] PINEAPPLE PULP 12 X 14 OZ,0.0,Caja de 12,0.0,0.0,2026-06-28 08:00:20
S00054,[PTEXP005] BLACKBERRY PULP 12 X 14 OZ,[PTEXP005] BLACKBERRY PULP 12 X 14 OZ,0.0,Caja de 12,13.96,0.0,2026-06-28 08:00:20
S00054,[PTEXP003] NARANJILLA PULP 12 X 14 OZ,[PTEXP003] NARANJILLA PULP 12 X 14 OZ,200.0,Caja de 12,10.96,2192.0,2026-06-28 08:00:20
S00054,[PTEXP004] GUAVA PULP 12 X 14 OZ,[PTEXP004] GUAVA PULP 12 X 14 OZ,1500.0,Caja de 12,9.29,13935.0,2026-06-28 08:00:20
S00054,[PTEXP002] SOURSOP PULP 12 X 14 OZ,[PTEXP002] SOURSOP PULP 12 X 14 OZ,2100.0,Caja de 12,15.77,33117.0,2026-06-28 08:00:20
S00054,[PTEXP009] PINEAPPLE PULP 12 X 14 OZ,[PTEXP009] PINEAPPLE PULP 12 X 14 OZ,200.0,Caja de 12,8.48,1696.0,2026-06-28 08:00:20
S00054,[PTEXP001] MANGO PULP 12 X 14 OZ,[PTEXP001] MANGO PULP 12 X 14 OZ,200.0,Caja de 12,9.15,1830.0,2026-06-28 08:00:20
S00083,[PULP025] PULPA DE MANGO 16 KG,[PULP025] PULPA DE MANGO 16 KG,512.0,kg,1.37,701.44,2026-06-28 08:00:20
S00082,[PTEXP032] MORA ENTERA 8 X 14 OZ,[PTEXP032] MORA ENTERA 8 X 14 OZ,240.0,Caja de 8,10.31,2474.4,2026-06-28 08:00:20
S00082,[PTEXP030] PULPA DE PIÑA CONGELADA 250 G X 12 U,[PTEXP030] PULPA DE PIÑA CONGELADA 250 G X 12 U,720.0,Caja de 12,6.84,4924.8,2026-06-28 08:00:20
S00082,[PTEXP008] PAPAYA PULP 12 X 14 OZ,[PTEXP008] PAPAYA PULP 12 X 14 OZ,0.0,Caja de 12,10.91,0.0,2026-06-28 08:00:20
S00082,[PTEXP029] PULPA DE GUANABANA 250 G X 12 U,[PTEXP029] PULPA DE GUANABANA 250 G X 12 U,2160.0,Caja de 12,11.48,24796.8,2026-06-28 08:00:20
S00082,[PTEXP026] PULPA DE GUAYABA 250 G X 12 U,[PTEXP026] PULPA DE GUAYABA 250 G X 12 U,720.0,Caja de 12,6.4,4608.0,2026-06-28 08:00:20
S00082,[PTEXP025] PULPA DE MORA 250 G X 12 U,[PTEXP025] PULPA DE MORA 250 G X 12 U,2520.0,Caja de 12,9.39,23662.8,2026-06-28 08:00:20
S00082,[PTEXP031] PULPA DE TOMATE DE ARBOL 250 G X 12 U,[PTEXP031] PULPA DE TOMATE DE ARBOL 250 G X 12 U,360.0,Caja de 12,7.52,2707.2,2026-06-28 08:00:20
S00082,[PTEXP028] PULPA DE PAPAYA 250 G X 12 U,[PTEXP028] PULPA DE PAPAYA 250 G X 12 U,360.0,Caja de 12,8.41,3027.6,2026-06-28 08:00:20
S00081,[FRUTP005] FRESA PICADA 16 KG,[FRUTP005] FRESA PICADA 16 KG,576.0,kg,2.04,1175.04,2026-06-28 08:00:20
S00080,[FRUTP005] FRESA PICADA 16 KG,[FRUTP005] FRESA PICADA 16 KG,1728.0,kg,2.04,3525.12,2026-06-28 08:00:20
S00079,[PTEXP002] SOURSOP PULP 12 X 14 OZ,[PTEXP002] SOURSOP PULP 12 X 14 OZ,0.0,Caja de 12,0.0,0.0,2026-06-28 08:00:20
S00079,[PTEXP008] PAPAYA PULP 12 X 14 OZ,[PTEXP008] PAPAYA PULP 12 X 14 OZ,0.0,Caja de 12,0.0,0.0,2026-06-28 08:00:20
S00079,[PTEXP004] GUAVA PULP 12 X 14 OZ,[PTEXP004] GUAVA PULP 12 X 14 OZ,0.0,Caja de 12,0.0,0.0,2026-06-28 08:00:20
S00079,[PTEXP004] GUAVA PULP 12 X 14 OZ,[PTEXP004] GUAVA PULP 12 X 14 OZ,1470.0,Caja de 12,9.29,13656.3,2026-06-28 08:00:20
S00079,[PTEXP002] SOURSOP PULP 12 X 14 OZ,[PTEXP002] SOURSOP PULP 12 X 14 OZ,1680.0,Caja de 12,15.77,26493.6,2026-06-28 08:00:20
S00079,[PTEXP008] PAPAYA PULP 12 X 14 OZ,[PTEXP008] PAPAYA PULP 12 X 14 OZ,1050.0,Caja de 12,10.91,11455.5,2026-06-28 08:00:20
S00078,[PULP011] PULPA DE ARANDANO 8 KG,[PULP011] PULPA DE ARANDANO 8 KG,144.0,kg,8.5,1224.0,2026-06-28 08:00:20
S00078,[PULP002] PULPA DE MORA 41 BX 12 KG,[PULP002] PULPA DE MORA 41 BX 12 KG,96.0,kg,3.96,380.16,2026-06-28 08:00:20
S00078,[PULP020] PULPA DE MORA 14KG,[PULP020] PULPA DE MORA 14KG,476.0,kg,2.67,1270.92,2026-06-28 08:00:20
S00078,[TOPP008] TOPPING DE FRUTILLA 12 BX,[TOPP008] TOPPING DE FRUTILLA 12 BX,588.0,kg,4.5,2646.0,2026-06-28 08:00:20
S00078,[TOPP002] TOPPING DE PIÑA 20BX 2 KG,[TOPP002] TOPPING DE PIÑA 20BX 2 KG,46.0,kg,4.16,191.36,2026-06-28 08:00:20
S00078,[PULP006] PULPA DE FRESA 12 KG,[PULP006] PULPA DE FRESA 12 KG,72.0,kg,2.4,172.8,2026-06-28 08:00:20
S00076,[SALS007] SALSA DE CHOCOLATE 1 KG,[SALS007] SALSA DE CHOCOLATE 1 KG,600.0,kg,3.79,2274.0,2026-06-28 08:00:20
